,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),22.867622351000094,3.2271175222880095,0.0010419845581054687,0.003898749223113681,0.3550965648819461,0.18056914648750633,0.6119741370233878,0.1645754917199348
K-centros (p=2),12.027406496105488,1.2349695947685546,0.0,0.0,0.28974339887121164,0.19722666688325988,0.6297212095735518,0.10829366634931982
K-centros (p=3),10.607022074451464,0.6423283348589066,3.333091735839844e-05,0.0001794924831479558,0.11321699318611365,0.15968140787810475,0.6572124146730587,0.04137043735672894
K-centros (p=4),9.79453330450152,0.568895457879336,0.0,0.0,0.0446502161370852,0.10934258993494303,0.6614668228873044,0.026430946662675748
KMeans,11.808352629536861,0.0017613338635074003,0.12546101411183674,0.013930587328661403,-0.0015906174373135262,2.168404344971009e-19,0.5751855259404314,0.0009978793407905049
