,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),14.876680089207458,0.8877051239825017,0.00010004838307698568,0.0003001451828996541,0.0006062730216419208,0.00044301815800775634,0.7023943468121245,0.0391978348674918
K-centros (p=2),9.823432669340153,0.29030150566415536,0.0006876230239868164,0.002811053168486776,0.00021567612695606053,0.00019927652866627023,0.7352718606733154,0.03386071660074085
K-centros (p=3),8.905848899861848,0.31152108641064125,0.000794219970703125,0.002790567650839189,0.0006056248912575186,0.0022458120205826586,0.7249107054854574,0.07500265347280277
K-centros (p=4),8.541805794622158,0.3062034266670315,0.0007951021194458008,0.0028059538084198306,0.0005148500392005103,0.0010502234163083416,0.7198248395331158,0.04912496226152308
KMeans,9.787278976996598,0.007471804390676053,0.09421515464782715,0.009687583392924424,0.0007748529179232763,3.2526065174565133e-19,0.363832327038815,0.0007319991399109835
