,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),44.00836197603882,2.7041883804346,0.00020000934600830078,0.00040001899398303925,0.24214518079010763,0.07278492632881084,0.21784091570200784,0.06045085315043363
K-centros (p=2),8.959655342433775,0.39160750469821776,0.0020838340123494467,0.00531275515472237,0.24196042039921384,0.07056954633031756,0.2490486563353146,0.053640537691040845
K-centros (p=3),5.697437079967374,0.22880336915281718,0.0005209843317667643,0.002805586488498866,0.23072927714632785,0.07505775228560792,0.2580312912192551,0.0353387042760216
K-centros (p=4),4.528649966394924,0.2563695447364077,0.0005209922790527343,0.002805629285943584,0.23445816946628578,0.08675658300550705,0.25552823106944905,0.056513140899732466
KMeans,8.069628142706128,0.00023714462785686942,0.32097673416137695,0.0181217175835881,0.2798484457959398,5.551115123125783e-17,0.3525312098928508,0.00022390354345451608
