,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),25.98713818414927,1.7093543499436565,0.0,0.0,0.13127599592927605,0.07573560301392208,0.32156404923433873,0.07747054768460918
K-centros (p=2),10.906458159038747,0.39458699347343434,0.002084239323933919,0.005313788519146468,0.0021840731497715445,0.008637946720724002,0.3888574090589071,0.09329016906446962
K-centros (p=3),9.446245799461433,0.2998300994539346,0.001562952995300293,0.004688858986304982,0.0004235610467325622,0.0002895527350590282,0.3843837229611323,0.07106425414811496
K-centros (p=4),8.942345271897674,0.24038284262374765,0.0005210081736246745,0.0028057148808330193,0.000603514435402932,0.00029658265169134795,0.3421406420015331,0.042539689753561385
KMeans,16.600792905394538,0.0,0.3203111251195272,0.022676807276862544,0.0009378185666759413,1.0842021724855044e-19,0.3369032450324806,0.02645609690475981
