,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),24.753925765762208,0.8941338116459668,3.566741943359375e-05,0.00017958198056596352,0.05276280898623276,0.03255059549156839,0.23332603253609668,0.07413365131098514
K-centros (p=2),8.09092507804461,0.5720162286192474,3.3291180928548175e-05,0.00017927849592436502,0.030094233334407847,0.02022908919835508,0.30948099395811896,0.05071569349068953
K-centros (p=3),5.503207395236297,0.4022342229023265,3.333886464436849e-05,0.000179535280592674,0.02461934034942405,0.017854377294505997,0.31449820569116954,0.04603527792575064
K-centros (p=4),4.922034554345877,0.15676490117953112,3.541310628255208e-05,0.00019070541366411327,0.025916135395342203,0.018937587367358864,0.3173250568695872,0.08716088838177276
KMeans,6.0848637096120495,1.8665164770692857,0.10551613966623942,0.008068271598604385,0.016521705635189805,3.469446951953614e-18,0.3029888280757586,0.010835379993101826
