,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),34.614836122359286,0.3306982926654465,0.04795553684234619,0.005608739362883268,0.2679044729367122,0.015222665589213244,0.10149383764802088,0.006914631429742848
K-centros (p=2),8.12701414441589,0.058255820056428105,0.048253417015075684,0.003978622682958506,0.18925699648972916,0.02804663163154676,0.10645125214231768,0.006050324494691653
K-centros (p=3),5.733196404549434,0.030384148417931262,0.045389405886332196,0.004712124380636452,0.13724424795208182,0.03428728428600837,0.08703415818082784,0.010287089437377614
K-centros (p=4),5.057838310858855,0.03141219957764172,0.04645884831746419,0.007654555229569133,0.10893143520962736,0.033387555066013805,0.07165182867605305,0.011898341837657705
KMeans,10.06856947700601,0.838311946904951,3.6428250551223753,0.5583773437977629,0.09804393977199753,2.7755575615628914e-17,0.1678399959771319,0.002612586668399538
