,Raio (média),Raio                   (desvio-padrão,Tempo (média),Tempo      (desvio-padrão),Índice de Rand      ajustado      (média),Índice de Rand      ajustado      (desvio-padrão),Silhueta (média),Silhueta      (desvio-padrão)
K-centros (p=1),37.1402713429972,1.733330382928075,0.0008262554804484049,0.0031034659201725698,0.00972761216738933,0.026744494377989647,0.20664078579694417,0.0738463957336113
K-centros (p=2),11.290904504746544,0.3846281072289,0.0008088191350301107,0.0031577975004674105,0.0012793407403531344,0.010352690448984425,0.31457406907267244,0.014084883290182296
K-centros (p=3),8.035711343619235,0.10370582001048263,0.0008363644282023112,0.00239558279854281,0.0016581817825980431,0.005074569922319609,0.33801567624054935,0.013789936728696587
K-centros (p=4),6.938600092918604,0.19662442897991436,0.001915287971496582,0.003991143849718864,0.0013516185399854391,2.168404344971009e-19,0.34166018880720034,5.551115123125783e-17
KMeans,10.445858788818095,1.7763568394002505e-15,0.12297524611155192,0.010477497240457115,0.0013516185399854391,2.168404344971009e-19,0.1139727749413432,2.7755575615628914e-17
