,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),17.18905333080191,0.23991943859414738,0.012301246325174967,0.006948556268737606,0.2516465635954222,0.037617517541390186,0.1996521111168639,0.031209726294406204
K-centros (p=2),4.758779907026247,0.07344304561304946,0.012450051307678223,0.005891124386458437,0.24674921314133078,0.023497499269777775,0.1860908578136189,0.027898107099074563
K-centros (p=3),3.2741438048613407,0.058483498457815954,0.009149456024169922,0.007594717807595475,0.2431773455903507,0.030732434629952465,0.18457431895530824,0.02951882123691458
K-centros (p=4),2.8257001129930126,0.04469989226123523,0.011130396525065105,0.007024536206534269,0.23785773755715384,0.03192429597051276,0.1684043512202426,0.02515727776483936
KMeans,5.526777031211784,0.6079959035021443,1.9146547079086305,0.051058075895863385,0.22233339359754656,2.7755575615628914e-17,0.2189175416663173,0.011054462314639477
