,Raio (média),Raio (desvio-padrão,Tempo (média),Tempo (desvio-padrão),Índice de Rand ajustado (média),Índice de Rand ajustado (desvio-padrão),Silhueta (média),Silhueta (desvio-padrão)
K-centros (p=1),19.52308452538768,0.6105646615627215,0.0015628337860107422,0.0046885013608611616,-0.005792267318843704,0.010644550624969279,0.3996228763381245,0.12135720540618201
K-centros (p=2),8.425290139325261,0.18064721542337348,0.0010351896286010741,0.0038734172732230116,-0.004108528580547296,0.006257054180732818,0.43915766826207914,0.11117391189111403
K-centros (p=3),6.480249936742575,0.08346161295051813,0.0020967880884806317,0.004930446989548539,-0.006662816170213215,0.005179092998200488,0.42445367194659483,0.07566454935124364
K-centros (p=4),5.959603876859338,0.14535151745158656,0.002883013089497884,0.0055253150139382085,-0.0001999837324897273,0.027470298549796608,0.3755129166978959,0.11130038890952604
KMeans,9.63674838787026,0.7926393032825476,0.8161477406819662,0.021945455224284698,-0.0310225956231739,6.938893903907228e-18,0.16253390163105896,0.007166359129286626
